bookmark_count,favorite_count,favourites_count,follower_count,following_count,friends,is_blue_verified,is_hateful,listed_count,number_of_tweets,quote_count,reply_count,retweet_count,source,tweet_id,user_id,views
0,200,1,55586,898,898,true,1,185,103940,5,14,60,Twitter for iPhone,1284833650601865217,183594399,0
0,0,72897,608,716,716,false,1,2,19504,0,0,0,"",1255580657641758720,1239623725013753857,0
0,0,20247,597,436,435,false,1,3,68370,0,0,0,Twitter for iPhone,1252949947642773504,463847547,0
0,1,254342,2038,1247,1246,false,1,11,94197,0,0,0,"",1269545959878537217,102405677,0
0,498,5412,656097,784,785,true,1,4292,126340,31,20,155,Jetpack.com,1271494359826018307,518715968,0
0,11,140507,4001,1092,1086,true,1,15,42493,0,1,4,Twitter for iPhone,1266881384473407488,450525250,0
0,2,108630,562,822,823,false,1,17,31326,0,0,0,Twitter for iPad,1276298743965507587,2580947160,0
0,0,171,6,47,47,false,2,0,88,0,0,0,"",1275978265816182786,1532389507,0
0,19,73102,2742,1309,1324,true,1,7,36739,0,0,0,"",1281007674436567045,1173899571564601344,0
0,0,4899,2106,4632,4629,false,2,69,335636,0,0,0,"",1277129069541429249,174369590,0
1,0,2395,191,1894,1889,false,1,0,4386,0,0,0,"",1248855587678535680,937797190990393344,0
0,1,3051,314,361,362,false,1,0,5206,0,0,0,"",1267341301277700096,1099643582716231681,0
0,0,16441,75,150,150,false,1,1,2671,0,1,0,"",1266519631403114497,1134609078448197635,0
0,2,12227,855,1102,1102,false,1,12,9110,0,1,0,"",1269657914786172928,735876560,0
0,224,192916,6906,3190,3216,true,1,22,83594,0,3,87,Twitter for iPhone,1272923251866468358,3681354315,0
0,0,52510,1039,850,848,false,1,0,25887,0,0,0,Twitter for iPhone,1273401593841532931,311269249,0
0,0,437463,1864,1911,1910,false,1,1,20825,0,0,0,"",1264742262891843587,4890668240,0
0,6,6413,8634,8253,8213,false,1,52,18979,0,1,2,"",1280114656586194944,86815264,0
0,3,2567,150,281,281,false,1,2,446,0,0,0,Twitter for Android,1283541375120703491,1141629359280840704,0
0,0,965,1250,2422,2421,false,1,15,4585,0,0,0,Twitter for Android,1252253362952843264,2572072189,0
0,0,148,18,75,75,false,1,0,13,0,0,0,"",1285295369463762945,3194742986,0
0,0,1466,4726,4,4,false,1,24,521387,0,0,0,erased4126563_E65sErOSVV,1249479922667655169,1133255809,0
0,0,10109,2495,4760,4757,false,1,52,15609,0,0,2,Twitter for iPhone,1245738773297709056,2775180295,0
0,0,94,1809,1991,1990,false,1,87,58047,0,0,0,Twitter Web Client,1263968421735280642,545470229,0
0,10,151938,19415,14439,14459,true,1,153,545703,0,1,1,"",1273719299644030976,63528313,0
0,6,30457,2318,79,78,true,1,4,9957,0,0,0,"",1276157057020899328,247047354,0
0,0,151622,230,389,387,false,1,1,12651,0,0,0,"",1281662234540703744,386391634,0
0,3,38314,1001,938,937,false,1,4,32029,0,0,0,"",1270039738179899399,1853994031,0
1,889,47295,1147,646,645,false,1,69,10844,22,930,200,Twitter for iPhone,1265764132764213259,1151855028459757569,0
0,1,1178,2636,3355,3351,false,1,8,53605,0,1,0,"",1278831571659874306,37733361,0
0,0,8777,3766,3220,3214,false,1,97,18954,0,0,0,Hootsuite Inc.,1253761045904216070,2396048112,0
0,0,21623,529,913,913,false,1,4,15238,0,1,0,"",1249123321872093184,993772759510671360,0
0,18,120426,3448,2309,2321,false,1,3,35583,0,3,0,"",1282330544106344451,1103507799190003713,0
0,1,21820,73,455,458,false,1,0,217,0,0,0,"",1268332930889330688,1198750023351189504,0
0,2,10224,587,407,407,false,1,2,14769,0,0,1,"",1280365739732434949,2922305297,0
0,3,26803,553,1184,1185,false,1,3,6008,0,0,0,"",1273983384147066882,258549703,0
0,1,41,1533,1183,1183,false,1,15,1359,0,0,0,Twitter for Android,1244657140700049408,813640417,0
0,2,36202,404,820,824,false,1,4,19268,0,0,0,Twitter for iPhone,1285362856062529537,771526257590804480,0
0,1,1125,8648,9236,9236,false,1,56,6733,0,1,0,"",1250599693450608645,20899232,0
0,1,79313,194,392,393,false,1,5,8630,0,0,0,"",1276931540702728192,3406254453,0
0,19,6350,13814,2603,2604,false,1,0,135714,0,0,0,Twitter Web App,1270143386784333826,36809520,0
0,3,170526,883,666,666,false,1,8,63984,0,0,0,"",1285710609246560262,525507054,0
0,2,62857,366,741,743,false,1,3,4274,0,3,0,"",1272650761235808257,4463982136,0
0,73,21817,58,343,343,false,1,0,597,4,0,13,Twitter for iPhone,1267242385932726275,1890967945,0
3,1491,252588,1223432,1033,1085,true,1,7793,528674,4,19,160,"",1280659525981241344,16106584,0
0,0,5470,592,466,466,true,1,8,10397,0,0,0,Twitter for iPhone,1249071848639221760,751862988441661440,0
0,4,4083,2566,1214,1213,false,1,238,40180,0,2,0,"",1274012180745240576,19788683,0
1,18,61256,4973,2743,2744,false,1,29,62375,0,2,19,Twitter Web App,1250815912023920645,1033946313858142208,0
0,1,17795,43,47,47,false,1,0,4498,0,1,0,"",1267351134928162816,1283369156,0
0,0,188,8,131,131,false,1,0,27,0,0,0,"",1267882301695778816,1246925894,0
0,1,246539,79432,15856,15855,false,1,781,199488,0,0,0,Twitter Web App,1273404051712020482,20576735,0
0,14,671,2534,738,739,true,1,39,659,1,1,1,Twitter Web App,1279561609749331968,1191473907812970497,0
0,1,11226,177,1350,1351,false,1,1,11586,0,0,0,"",1274137537653755905,1096943282620428288,0
0,0,4651,18,9,9,false,1,0,64,0,0,0,"",1267852561018548224,1267851258955624450,0
0,5,123465,5234,1105,1105,false,1,98,25753,0,0,1,Twitter for iPhone,1267606845537095682,2167181430,0
0,0,2308,1323,591,591,false,1,854,431250,0,0,0,IFTTT,1253266168732962816,277239808,0
0,1,6932,81,67,73,false,1,0,2951,0,1,0,"",1266125379862962181,865053465160151040,0
0,9,340836,3899,2205,2204,false,1,31,45439,0,0,1,Twitter for iPhone,1268330888003280897,200685830,0
0,0,58208,143,507,506,false,1,0,10841,0,0,0,"",1281703331887566849,1267901750452858881,0
0,0,14743,130,764,764,false,1,0,9537,0,0,0,"",1277383564502478848,24504125,0
4,172,1646,1212265,1511,1510,true,1,9008,270883,2,4,62,SocialFlow,1275211990835826690,252751061,0
0,0,18459,388,323,323,false,1,2,4118,0,0,0,"",1267467362560851968,3084715671,0
0,144,166350,13749,2672,2670,false,1,66,48388,0,4,8,"",1277223015508594688,759348635205181440,0
0,0,28,260,385,385,false,1,3,23488,0,0,0,Instagram,1249772595261644804,881523483536220160,0
0,1,8030,1747,4497,4486,false,1,1,18072,0,0,0,"",1283555880215117824,37722646,0
0,2,1439,385,271,270,false,1,1,427,0,0,0,Twitter for iPhone,1281733244249976832,1244155449584181250,0
0,1,17,209,56,56,false,1,1,368,0,0,2,Periscope,1279195232521748480,796773818970869761,0
0,1,621,20,150,150,false,1,0,1303,0,1,0,"",1275446210900320259,69123389,0
0,5,91019,1741,2309,2308,false,1,8,53587,0,0,0,"",1281449254356123648,2147933846,0
0,0,113728,1646,1676,1679,false,1,43,74544,0,1,0,"",1281844552878313472,63995798,0
0,0,138890,59,12,12,false,1,2,12444,0,0,0,"",1277586407096270849,936861191992782849,0
1,102,24144,12195,979,980,false,1,105,9522,1,7,8,"",1282788334067224578,234565392,0
0,42,24982,20843,2783,2788,false,1,216,37137,1,1,6,Twitter for iPhone,1282815333766770690,26557459,0
0,11,11819,1621,1665,1664,false,1,63,10070,0,0,0,Twitter Web App,1266882029699960833,18487099,0
0,4,191974,192,178,180,false,1,6,26736,0,0,2,Twitter for iPhone,1267232580916535296,2200253958,0
3,191,2966,233,302,302,false,1,1,691,5,3,73,Twitter for iPhone,1267450724524449793,819867292494401536,0
0,121,71005,893349,506,506,true,1,1838,19395,0,11,4,"",1255977652730527745,1720701343,0
0,3,348587,5003,7499,7501,false,1,182,453413,1,0,1,Twitter Web App,1254829081159512071,44983352,0
0,0,171,81,83,83,false,1,1,3666,0,0,0,"",1258026606544764928,1149031063576023040,0
0,1,238287,598,1917,1914,false,1,14,29176,0,0,0,"",1259231176666918913,187389096,0
0,1,4257,6952,3181,3180,false,1,178,17679,0,0,1,"",1284643306115174403,501183828,0
0,0,31,21624,0,0,false,1,233,2267102,0,0,0,"",1271839393960034305,3069279631,0
0,19,5709,85,106,106,false,1,1,2715,0,0,1,"",1275325469941010432,1229893344882548736,0
0,6,24289,3015,899,905,false,1,23,31519,0,0,1,Twitter for iPhone,1267227229920145410,796460109211828224,0
0,305,43061,404589,3695,3694,true,1,2765,50889,1,3,64,Twitter for iPhone,1283927959242448896,96675300,0
0,0,7435,4250,1483,1480,false,1,38,99535,0,0,2,Twitter for Android,1268693208751583239,505591052,0
1,12,41785,2893,3497,3497,false,1,56,41325,0,0,9,Twitter for Android,1260326870492602380,532291506,0
0,8,67894,12712,6277,6276,false,1,151,212437,0,1,2,Twitter for Android,1274128819587362822,274035579,0
0,33,10160,1501,1927,1928,false,1,1,1568,0,1,2,"",1280502640380719104,409354082,0
0,14,355845,7942,6667,6689,false,1,122,145698,1,1,4,"",1257733621131051008,432242860,0
2,272,11781,2488717,1235,1236,true,1,9177,296523,5,8,91,Twitter Media Studio,1270189625206640641,701725963,0
0,28,422891,35999,1646,1645,false,1,264,370037,0,1,4,"",1272553032522190849,874491475962118145,0
0,38,237268,66951,1576,1575,false,1,373,77286,3,4,4,Twitter for iPhone,1267233819393957891,2726696907,0
0,7,6745,453,534,534,false,1,15,1155,0,0,0,Twitter for iPhone,1270867024906989568,4926131717,0
0,0,137,11032,9601,9597,false,1,389,353900,0,0,0,TweetDeck,1250861520143020032,343464115,0
0,10,1356,848,529,529,false,1,16,1987,0,0,0,"",1282901195372195840,19743095,0
0,3,30349,1950,1188,1191,false,1,13,12134,0,0,0,Twitter for iPhone,1250874874756808704,3114348873,0
0,3,803,5,91,91,false,1,0,52,0,0,0,"",1267503363106750467,1204262611971383296,0
2,158,125719,85448,8201,8185,false,1,302,35296,9,6,78,Twitter for iPhone,1264627079951368193,820759753945186304,0
0,21,32234,5226,1480,1478,false,1,139,13778,2,0,1,Twitter for iPhone,1284626908039262208,66120349,0
0,0,30409,307,4234,4240,false,1,4,2763,0,0,0,"",1266486092032888837,1240071166452273152,0
0,0,150614,6287,7213,7208,false,1,238,556244,0,0,1,"",1266030927123185664,344786265,0
0,0,2000,20,62,62,false,1,3,5101,0,1,0,"",1276732460382863367,1718197207,0
0,0,36,0,2,2,false,1,0,46,0,0,0,"",1278550928057085952,1150629667541405696,0
0,2,52834,4336,3790,3792,true,1,7,74878,0,1,0,Twitter Web App,1279916908209303553,1022501982773243906,0
0,2,30250,154,593,594,false,1,7,13732,0,0,1,Twitter for Android,1268693134474489858,2865418749,0
0,0,2244,72,145,145,false,1,1,5284,0,0,0,"",1285663099912179712,1047922548007157760,0
7,954,40771,719030,759,759,true,1,2221,28585,11,13,225,Twitter for iPhone,1248399141366988800,54617733,0
0,0,57355,3538,2942,2940,true,1,37,27302,0,0,0,"",1272895387439857665,33957892,0
0,25,370341,62401,4410,4443,true,1,104,185522,3,2,5,Twitter for Android,1269417999942987776,1069084131492016128,0
0,6,869,900,509,509,false,1,16,779,1,0,1,Twitter Web App,1259228397949128708,478934373,0
0,75,6729,84067,317,318,false,1,742,182937,0,5,6,Twitter for iPhone,1270142691242696706,262077808,0
0,2,20383,1304,2051,2050,false,1,4,14805,0,1,0,Twitter for Android,1270865274586234885,913517915655241728,0
0,2,1762,2301,2848,2852,false,1,246,543649,0,0,2,Twitter Web Client,1252607882102784004,187940550,0
0,1,511537,47827,14911,14916,false,1,331,286664,0,0,0,"",1275499990396424192,15987376,0
0,1,27618,286,221,221,false,1,3,15815,0,1,0,"",1281113404820914177,122480738,0
0,171,35822,10317,475,475,false,1,29,8567,0,1,13,Twitter Web App,1270770451145351168,3729450313,0
0,6,8162,15130,10311,10311,false,1,18,12343,0,4,8,Twitter for iPhone,1271950751711911936,1198280137315274752,0
1,66,46380,621,481,481,false,1,2,6490,0,0,4,"",1281971020480393222,39071517,0
0,3,8274,228,3,3,false,2,1,7095,0,1,0,"",1258168590970368000,1154358243147288577,0
0,12,22503,265,221,223,false,1,2,9391,0,1,1,Twitter for iPhone,1274853856468500481,66215106,0
0,3,21658,1405,3206,3202,false,1,37,20637,0,0,0,Twitter Web App,1250806257117802498,924187220,0
0,1,9603,1104,743,744,false,1,44,17121,0,1,0,"",1276680676729696256,17701898,0
0,32,73228,3036,3078,3072,false,1,9,19522,0,4,4,Twitter for Android,1266880849024344067,875140534020431873,0
0,0,449442,11579,9133,9177,false,1,31,605517,0,0,0,"",1271965060663894017,826332877457481728,0
0,3,450,194,893,893,false,1,1,2780,0,1,0,"",1274307071849136130,772028898032975872,0
3,1029,57697,37039,770,771,false,1,236,23754,14,76,180,Twitter for iPhone,1269516717123702784,175475686,0
0,14,154478,30132,20425,20402,false,1,318,243323,0,1,2,Twitter for iPhone,1261065356543574016,1021382089059590144,0
5,54,448,4802,460,460,false,1,45,930,2,2,49,"",1284614589997604868,954033569906745347,0
0,4,19001,2660,1297,1295,false,1,23,6973,0,1,0,Twitter for Android,1284623825343324166,821521342893883396,0
0,181,93271,1073,1324,1322,false,1,16,41293,2,12,21,Twitter for Android,1285844410006200320,1142068733596356608,0
0,0,10430,496,192,193,false,1,0,18750,0,0,0,"",1285183899522539520,27518001,0
0,2,55717,366,466,465,false,1,1,8534,0,0,0,"",1281028483603365893,22833699,0
0,2,668,481,626,623,false,1,5,681,0,1,1,"",1270867404340543488,955886092389158914,0
0,3,9779,786,581,582,false,2,7,14637,0,1,1,"",1269211882398912512,176764392,0
0,1,14444,1163,1596,1593,true,1,0,10503,0,0,0,"",1271278148714467328,2794788631,0
0,3,4371,319,1083,1082,false,1,14,3114,0,0,0,Twitter Web App,1268693861116907522,122814655,0
0,0,588,51,262,262,false,1,0,714,0,0,0,"",1279928132267438082,877281021632274432,0
0,2,12300,1184,862,859,false,1,19,4691,0,0,0,Twitter for iPhone,1283537059026788354,454992840,0
0,0,1337,3921,1722,1720,false,1,81,10733,0,0,0,TweetDeck,1281733244220735488,36037083,0
0,19,1890,2566,761,760,false,1,21,2190,0,3,16,Twitter for iPhone,1259251483381510145,1244351482046054401,0
